"","V1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","FBgn0000008",191.980418384149,0.406150146413171,0.350721561977133,1.15804156472037,0.246847074774237,0.701028501541558,"a"
"2","FBgn0000014",1984.56283480623,-1.20530872547734,0.373786849804509,-3.22458836127519,0.00126153918606587,0.0336644067985357,"abd-A"
"3","FBgn0000015",123.323916360246,-0.264452303043469,0.577032131015967,-0.458297361323457,0.646738819606138,0.922692587832196,"Abd-B"
"4","FBgn0000017",347.688809670739,0.154099730110426,0.394923225646377,0.390201740751531,0.696387374515775,0.935777804287512,"Abl"
"5","FBgn0000018",294.930948797923,0.240406293068563,0.278900482441577,0.861978763765394,0.388699203986216,0.816763501062196,"abo"
"6","FBgn0000024",77.5821117653468,0.118028365011036,0.486723756417742,0.242495591091995,0.808396172728367,0.967221490306755,"Ace"
"7","FBgn0000028",11.1380261898413,0.491944641058628,1.08524150314718,0.453304301053728,0.650329636155897,NA,"acj6"
"8","FBgn0000032",616.911180795158,0.369066298673998,0.210605295738577,1.75240749469148,0.0797037636413136,0.436279520950694,"Acph-1"
"9","FBgn0000042",44038.5081550399,-0.245756793507149,0.156872361594258,-1.56660351772344,0.117207395104844,0.510948274565061,"Act5C"
"10","FBgn0000043",28341.3714945463,-0.687844293366769,0.231748574869901,-2.96806266771181,0.00299683223986231,0.0592920172673902,"Act42A"
"11","FBgn0000044",92079.6375587548,-0.52204526305804,0.43159524214105,-1.20957140414312,0.226443396469913,0.674648382453089,"Act57B"
"12","FBgn0000045",34.9406332890331,0.161922946375644,0.9860351520617,0.16421620064668,0.869560947965296,0.98121812682182,"Act79B"
"13","FBgn0000046",5890.45632484897,-0.592103797091123,0.462253789082633,-1.28090631396702,0.200226574802432,0.645132931436431,"Act87E"
"14","FBgn0000047",122.851460308654,0.476837932812772,0.661330126569214,0.721028596242041,0.470891920824023,0.863012214102212,"Act88F"
"15","FBgn0000052",726.161576440193,0.297071897102611,0.272888529819851,1.08861994785463,0.276321516416612,0.729713913458868,"ade2"
"16","FBgn0000053",598.365504741162,0.346349079974468,0.215412919174661,1.60783801315854,0.107870660654385,0.49181478853602,"ade3"
"17","FBgn0000054",665.579304794489,0.0247811433019187,0.224489640449702,0.110388805702912,0.912101030626896,0.985983759731121,NA
"18","FBgn0000055",12.293407800621,-0.452595759215583,1.04170010817182,-0.434477980433241,0.663941381395992,NA,"Adh"
"19","FBgn0000057",424.623464851566,-0.0255403457195727,0.238321791985173,-0.107167479343062,0.914656114539682,0.985983759731121,"adp"
"20","FBgn0000063",181.258455206572,0.239734321898275,0.276919664235867,0.865717942276867,0.386644858191954,0.815845849163023,"Mps1"
"21","FBgn0000064",7844.61063595342,-0.767651450993936,0.285415726946425,-2.68959058145395,0.00715397287397555,0.107698463573474,"Ald"
"22","FBgn0000075",92.599178554922,0.543582280043884,0.585007028522055,0.929189314899643,0.352790983917542,0.790901083800544,"amd"
"23","FBgn0000077",161.536840334018,0.084309236699833,0.316297746643994,0.26655022868287,0.789815481168273,0.958495901198112,"amx"
"24","FBgn0000078",63.0793824451196,5.35806711648474,2.07765879197002,2.57889656241594,0.00991164607885416,0.131234444100724,"Amy-d"
"25","FBgn0000079",122.447652615131,4.5002414503354,2.22878480621098,2.01914578643686,0.0434720691543529,0.319608426792972,"Amy-p"
"26","FBgn0000083",10345.6684816046,-0.832554032150963,0.259578892741891,-3.20732561633507,0.00133975258344123,0.0351015176861602,"AnxB9"
"27","FBgn0000084",671.7780771483,-0.594984653110146,0.28800814798015,-2.06586048791631,0.0388416546512206,0.295360550672342,"AnxB10"
"28","FBgn0000097",818.16323779746,-0.187166948560305,0.330380579435538,-0.566519221196607,0.571040870308812,0.902335168867745,"aop"
"29","FBgn0000099",16.9374931845724,0.130933123535317,0.986142528930211,0.132773021844374,0.89437289087652,0.984927466073962,NA
"30","FBgn0000100",34634.3571713769,0.0856792667362844,0.27359440568623,0.31316161791168,0.754157877276189,0.949251903073214,"RpLP0"
"31","FBgn0000108",29.8196014484215,0.61017289193445,0.663598093249013,0.919491629258622,0.357838481973219,0.793306060264106,"Appl"
"32","FBgn0000109",129.331617850816,-0.170365759137343,0.472304997772183,-0.360711319890626,0.718315261609542,0.939702021183989,"Aprt"
"33","FBgn0000114",1683.24505799599,0.604624917035674,0.265967754752585,2.27330157972767,0.0230080124116313,0.220052295697969,"bru1"
"34","FBgn0000115",706.606212064214,-0.300945947827724,0.283788701581806,-1.06045782002696,0.288936369558483,0.739715682894585,"Arl1"
"35","FBgn0000116",19306.2306388967,-0.459559081640169,0.212602900816081,-2.16158424873856,0.0306502366438736,0.260720301127858,"Argk"
"36","FBgn0000117",7011.29361147992,-0.295044490397156,0.199323079772327,-1.48023244841574,0.138811223686507,0.550077207471204,"arm"
"37","FBgn0000119",265.911028412867,-0.107641381578004,0.383252289481025,-0.28086298381613,0.778815492912802,0.95485328065131,"arr"
"38","FBgn0000121",8.18655420902925,5.12445145428518,1.87482228197399,2.73329984583375,0.00627032206736523,NA,"Arr2"
"39","FBgn0000139",555.570906938382,0.0739598135996407,0.227323717155841,0.325350185739474,0.744916052322756,0.946550847625319,"ash2"
"40","FBgn0000140",497.586734476003,0.309997924912904,0.40833076628135,0.759183364349546,0.447742876055522,0.850630048710662,"asp"
"41","FBgn0000146",1256.49865598133,0.137718720707644,0.282428336370106,0.48762359498932,0.625816479672547,0.9163506851671,"aub"
"42","FBgn0000147",332.665936095591,0.236512506981872,0.267589461908658,0.883863307975129,0.376770006396022,0.808928104122176,"aurA"
