"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0011774","Irbp","Young WT",34.7526970691589,0.0854886381462199
"FBgn0014861","Mcm2","UAS-tkv",86.0616269185152,0
"FBgn0014861","Mcm2","bam RNAi",71.4287310453072,-0.265474880545715
"FBgn0014861","Mcm2","bam RNAi; HS-bam",66.5108136879094,-0.36691837257113
"FBgn0014861","Mcm2","Young WT",105.400418512389,0.289394940408366
"FBgn0015075","Ddx1","UAS-tkv",55.9707565219994,0
"FBgn0015075","Ddx1","bam RNAi",55.4305987865445,-0.0137439059307622
"FBgn0015075","Ddx1","bam RNAi; HS-bam",19.8951907926271,-1.44705063219369
"FBgn0015075","Ddx1","Young WT",44.2510409061349,-0.332270585290577
"FBgn0015929","dpa","UAS-tkv",105.451457607395,0
"FBgn0015929","dpa","bam RNAi",99.9109102400951,-0.0771135407832601
"FBgn0015929","dpa","bam RNAi; HS-bam",78.2836658826145,-0.425100128443292
"FBgn0015929","dpa","Young WT",116.346268913974,0.140576267037194
"FBgn0017577","Mcm5","UAS-tkv",94.2653405362047,0
"FBgn0017577","Mcm5","bam RNAi",88.7371141892735,-0.0862466380096564
"FBgn0017577","Mcm5","bam RNAi; HS-bam",84.7489177749129,-0.1518329645174
"FBgn0017577","Mcm5","Young WT",102.00940612704,0.112752747665661
"FBgn0020270","mre11","UAS-tkv",66.7660578456615,0
"FBgn0020270","mre11","bam RNAi",68.2180524135988,0.0305855009983447
"FBgn0020270","mre11","bam RNAi; HS-bam",37.0510118658451,-0.832628029114997
"FBgn0020270","mre11","Young WT",56.730126872863,-0.23123845206199
"FBgn0020633","Mcm7","UAS-tkv",130.142735447855,0
"FBgn0020633","Mcm7","bam RNAi",113.218499459426,-0.199341556333141
"FBgn0020633","Mcm7","bam RNAi; HS-bam",74.8562811474408,-0.789797342436165
"FBgn0020633","Mcm7","Young WT",109.256728943056,-0.250271187001694
"FBgn0023513","CG14803","UAS-tkv",28.7020919770104,0
"FBgn0023513","CG14803","bam RNAi",25.9248858218896,-0.141624319599841
"FBgn0023513","CG14803","bam RNAi; HS-bam",13.0903839498904,-1.07585362218156
"FBgn0023513","CG14803","Young WT",30.0646844524192,0.064710853339198
"FBgn0025815","Mcm6","UAS-tkv",112.956960371424,0
"FBgn0025815","Mcm6","bam RNAi",102.845582969256,-0.134049192566517
"FBgn0025815","Mcm6","bam RNAi; HS-bam",53.6097079575133,-1.06125969890924
"FBgn0025815","Mcm6","Young WT",92.2277880245004,-0.289657103304954
"FBgn0026143","Cdc45","UAS-tkv",50.5508396158521,0
"FBgn0026143","Cdc45","bam RNAi",30.7347228798783,-0.699933680670569
"FBgn0026143","Cdc45","bam RNAi; HS-bam",30.1308616974015,-0.727650414230192
"FBgn0026143","Cdc45","Young WT",68.9513739597244,0.44035646940142
"FBgn0026401","Nipped-B","UAS-tkv",49.3004047866413,0
