"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0259195","CG42299","bam RNAi",9.80258773638105,0.667085036563211
"FBgn0259195","CG42299","bam RNAi; HS-bam",5.35817812995095,-0.0976065711576237
"FBgn0259195","CG42299","Young WT",0.638582628162738,-2.05377158163851
"FBgn0259196","CG42300","UAS-tkv",7.13196194227605,0
"FBgn0259196","CG42300","bam RNAi",22.0375797465014,1.50231379140061
"FBgn0259196","CG42300","bam RNAi; HS-bam",4.71567346149715,-0.508679966264614
"FBgn0259196","CG42300","Young WT",0.0553263171499603,-2.94591430012256
"FBgn0260817","gkt","UAS-tkv",25.4266679876203,0
"FBgn0260817","gkt","bam RNAi",21.9902193780501,-0.200974301262002
"FBgn0260817","gkt","bam RNAi; HS-bam",17.0410881879827,-0.550708173369508
"FBgn0260817","gkt","Young WT",17.2667082900385,-0.532777854056794
"FBgn0260987","vtd","UAS-tkv",93.0375956277964,0
"FBgn0260987","vtd","bam RNAi",126.004001039613,0.433564389847721
"FBgn0260987","vtd","bam RNAi; HS-bam",110.669308738242,0.247923171646713
"FBgn0260987","vtd","Young WT",82.5309720430008,-0.170926425681691
"FBgn0261113","Xrp1","UAS-tkv",45.1134931844109,0
"FBgn0261113","Xrp1","bam RNAi",77.9124368972525,0.77506373555995
"FBgn0261113","Xrp1","bam RNAi; HS-bam",92.4597866141364,1.01915678649858
"FBgn0261113","Xrp1","Young WT",31.4097808600554,-0.508759690917764
"FBgn0261530","nbs","UAS-tkv",34.5772868678003,0
"FBgn0261530","nbs","bam RNAi",31.9602091755478,-0.110231096206162
"FBgn0261530","nbs","bam RNAi; HS-bam",55.6272468710048,0.670539895393763
"FBgn0261530","nbs","Young WT",36.7532068053985,0.0856426994546352
"FBgn0261976","Psf2","UAS-tkv",37.0661442917638,0
"FBgn0261976","Psf2","bam RNAi",41.3302717905252,0.15318130466054
"FBgn0261976","Psf2","bam RNAi; HS-bam",37.8322181079778,0.0287456696183968
"FBgn0261976","Psf2","Young WT",27.9198986599354,-0.396445950298273
"FBgn0262647","Nup160","UAS-tkv",53.7267057191157,0
"FBgn0262647","Nup160","bam RNAi",55.3626683115948,0.0424948971299228
"FBgn0262647","Nup160","bam RNAi; HS-bam",38.8663016193788,-0.457075242641433
"FBgn0262647","Nup160","Young WT",51.963492542831,-0.047246755813217
"FBgn0263831","Gen","UAS-tkv",20.243052680852,0
"FBgn0263831","Gen","bam RNAi",18.695937555029,-0.109093007045875
"FBgn0263831","Gen","bam RNAi; HS-bam",12.6013098241272,-0.643245508390137
"FBgn0263831","Gen","Young WT",14.9132570064639,-0.416761954071519
"FBgn0265003","koi","UAS-tkv",37.4442738855884,0
"FBgn0265003","koi","bam RNAi",38.6860179526049,0.045862080537998
"FBgn0265003","koi","bam RNAi; HS-bam",58.0741829599019,0.61975904001316
"FBgn0265003","koi","Young WT",42.964211169298,0.1935608525584
"FBgn0266282","jnj","UAS-tkv",37.7622448567157,0
"FBgn0266282","jnj","bam RNAi",33.8182110137741,-0.154810046548936
"FBgn0266282","jnj","bam RNAi; HS-bam",44.6083026022374,0.234644353945827
"FBgn0266282","jnj","Young WT",24.5980966358752,-0.598615583042416
"FBgn0266421","RPA3","UAS-tkv",168.562098770542,0
"FBgn0266421","RPA3","bam RNAi",161.539765330871,-0.0610210122438444
"FBgn0266421","RPA3","bam RNAi; HS-bam",155.507463360318,-0.115582272212776
"FBgn0266421","RPA3","Young WT",136.010321428628,-0.307529148565291
"FBgn0266666","Sem1","UAS-tkv",371.908948619287,0
"FBgn0266666","Sem1","bam RNAi",454.83743062224,0.289695977305309
"FBgn0266666","Sem1","bam RNAi; HS-bam",458.400586475491,0.300929280893364
