fbgn,BamHSbam_input_1,BamHSbam_input_2,BamHSbam_input_3,BamHSbam_input_4,BamHSbam_polysome_1,BamHSbam_polysome_2,BamHSbam_polysome_3,BamHSbam_polysome_4,BamRNAi_input_1,BamRNAi_input_2,BamRNAi_input_3,BamRNAi_polysome_1,BamRNAi_polysome_2,BamRNAi_polysome_3,TKV_input_1,TKV_input_2,TKV_polysome_1,TKV_polysome_2,youngWT_input_1,youngWT_input_2,youngWT_polysome_1,youngWT_polysome_2
FBgn0041342,1255,898,1144,1547,2529,371,2427,1348,1216,767,2006,182,1342,1844,663,350,653,246,1600,2179,747,933
FBgn0267463,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,4,0,0,7,4,0,16
FBgn0035231,147,109,78,91,379,61,116,102,52,9,51,20,28,19,42,4,57,0,8,42,0,3
FBgn0035232,878,974,1115,1652,3708,181,2439,1718,2568,1585,3666,557,4474,2991,1300,847,2668,779,2600,2932,1524,2180
FBgn0035233,352,122,126,335,546,89,877,441,271,309,370,173,446,394,245,122,476,180,208,453,69,667
FBgn0035235,606,620,731,883,976,79,735,768,494,294,1051,62,392,564,199,169,256,80,336,454,106,197
FBgn0035234,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
FBgn0035236,1322,1523,1223,1720,3173,415,2194,1428,2202,1662,3159,292,2273,2491,1256,754,1329,349,1169,2362,490,1672
FBgn0035237,1190,1914,2570,2664,2186,316,2325,2930,1582,722,2608,190,757,1706,732,478,409,92,1590,2209,358,546
FBgn0035238,228,608,325,781,647,54,1505,579,581,468,1129,55,774,830,362,192,248,179,392,817,194,394
FBgn0035240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035241,212,274,395,156,749,4,242,99,163,170,266,42,224,54,73,79,43,36,37,45,0,13
FBgn0035243,707,428,548,458,1368,148,292,803,378,432,658,467,925,786,295,149,851,295,519,750,317,2011
FBgn0267464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FBgn0053230,140,446,626,922,1146,139,491,1118,267,219,457,24,432,477,176,106,400,126,412,599,239,522
FBgn0035244,529,408,558,903,1492,250,652,1044,894,726,1370,662,1624,1278,702,380,1571,752,710,1281,460,1391
FBgn0035245,0,0,0,6,6,0,0,6,7,2,7,0,13,2,1,2,0,0,0,2,0,0
FBgn0035246,112,185,217,66,372,62,116,45,40,54,60,1,66,23,12,3,17,0,8,9,0,9
FBgn0013342,57,165,65,33,176,0,56,17,15,20,31,1,30,9,11,7,0,7,2,7,0,0
FBgn0035247,381,234,291,458,591,95,927,731,519,513,986,293,983,1008,297,197,717,400,558,929,399,1125
FBgn0013753,304,291,276,438,1063,188,489,590,727,751,1151,405,1415,1065,467,314,1089,441,229,747,223,512
FBgn0025725,1416,869,1377,2109,3604,26,2228,2667,3950,2164,4059,1282,3372,2466,2185,1133,3731,990,2035,2465,1138,1890
FBgn0035248,82,185,34,84,129,0,296,177,152,264,304,213,343,320,164,79,178,155,157,282,272,617
FBgn0035249,325,157,240,532,575,1,406,406,466,384,952,146,731,604,330,189,495,197,317,601,44,546
FBgn0013755,0,0,0,0,0,0,0,1,2,13,9,0,0,0,0,0,0,0,0,0,0,0
FBgn0267465,0,56,17,41,38,0,0,8,11,15,12,0,14,17,2,6,0,0,0,2,0,0
FBgn0025712,587,283,246,133,812,64,310,266,466,677,563,124,787,233,193,200,432,270,110,127,26,142
FBgn0035251,580,842,762,1124,1862,467,1740,1476,1554,1837,1922,776,3409,1678,969,586,1538,761,992,1292,832,1485
FBgn0035252,605,692,1039,1204,2373,144,2242,2177,1377,1785,1499,1060,3534,1904,1027,614,2276,1065,1132,1850,950,2913
FBgn0035253,811,1359,1982,3922,2547,461,3861,2725,1791,739,3131,210,834,2436,921,624,379,198,1961,2598,907,1094
FBgn0035254,569,307,165,442,548,171,873,331,195,217,630,47,259,528,159,101,161,80,228,642,173,296
