"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0011774","Irbp","Young WT",0.670319043473037,-0.401597282854226
"FBgn0014861","Mcm2","UAS-tkv",1.12133927873622,0
"FBgn0014861","Mcm2","bam RNAi",1.32769273185203,0.243698448021784
"FBgn0014861","Mcm2","bam RNAi; HS-bam",1.26936323062486,0.178882103956613
"FBgn0014861","Mcm2","Young WT",0.732497070032056,-0.614327960222135
"FBgn0015075","Ddx1","UAS-tkv",0.646934977424731,0
"FBgn0015075","Ddx1","bam RNAi",0.775954631718149,0.262351587676714
"FBgn0015075","Ddx1","bam RNAi; HS-bam",1.35316602038064,1.06464623364438
"FBgn0015075","Ddx1","Young WT",0.706954954339588,0.127997576373113
"FBgn0015929","dpa","UAS-tkv",0.966173181903563,0
"FBgn0015929","dpa","bam RNAi",0.941185529877017,-0.0378026681754129
"FBgn0015929","dpa","bam RNAi; HS-bam",1.14656536365595,0.246964889235106
"FBgn0015929","dpa","Young WT",0.64124012603314,-0.591417102466681
"FBgn0017577","Mcm5","UAS-tkv",0.845981540749374,0
"FBgn0017577","Mcm5","bam RNAi",1.02708770627275,0.279861293906973
"FBgn0017577","Mcm5","bam RNAi; HS-bam",1.07653514599431,0.347697331100858
"FBgn0017577","Mcm5","Young WT",0.525868392847929,-0.685924397497417
"FBgn0020270","mre11","UAS-tkv",1.79264646156039,0
"FBgn0020270","mre11","bam RNAi",1.66301350206771,-0.108291111847389
"FBgn0020270","mre11","bam RNAi; HS-bam",1.7545516846734,-0.0309885472859611
"FBgn0020270","mre11","Young WT",0.906020338317385,-0.984475652491492
"FBgn0020633","Mcm7","UAS-tkv",0.838859062618408,0
"FBgn0020633","Mcm7","bam RNAi",0.896348327025933,0.0956310396240996
"FBgn0020633","Mcm7","bam RNAi; HS-bam",1.23715789326792,0.560529289385548
"FBgn0020633","Mcm7","Young WT",0.540585497994045,-0.633905632715499
"FBgn0023513","CG14803","UAS-tkv",1.01382858163976,0
"FBgn0023513","CG14803","bam RNAi",1.18446889251766,0.224426568083751
"FBgn0023513","CG14803","bam RNAi; HS-bam",2.9362047951762,1.53413885539456
"FBgn0023513","CG14803","Young WT",0.980361420244147,-0.0484281251094942
"FBgn0025815","Mcm6","UAS-tkv",0.875616906463126,0
"FBgn0025815","Mcm6","bam RNAi",0.955281230135053,0.125625707633345
"FBgn0025815","Mcm6","bam RNAi; HS-bam",1.56545378441577,0.838209202083087
"FBgn0025815","Mcm6","Young WT",0.538559226272279,-0.701194801312681
"FBgn0026143","Cdc45","UAS-tkv",0.817633992656315,0
"FBgn0026143","Cdc45","bam RNAi",1.22991576934979,0.589032434291896
"FBgn0026143","Cdc45","bam RNAi; HS-bam",2.06178597822392,1.33436750102134
"FBgn0026143","Cdc45","Young WT",0.503287476779043,-0.700072476793302
"FBgn0026401","Nipped-B","UAS-tkv",0.142480189720062,0
"FBgn0026401","Nipped-B","bam RNAi",0.384541626221423,1.432378434262
"FBgn0026401","Nipped-B","bam RNAi; HS-bam",0.618302546945069,2.11755160585773
