FBGN,Symbol,Genotype,Mean_expression,Norm_expression
FBgn0027868,Nup107,8CC,1.04230474,-0.008214836
FBgn0027868,Nup107,16CC 2a 1,0.947908619,-0.076486989
FBgn0027868,Nup107,16CC 2a 2,1.010219613,-0.031059866
FBgn0027868,Nup107,16CC 2ab,0.864079443,-0.139949642
FBgn0027868,Nup107,16CC 2b,1.06033784,0.004467933
FBgn0027868,Nup107,16CC 3,1.056315363,0.00164855
FBgn0027868,Nup107,St2,1.0269971,-0.019068963
FBgn0262647,Nup160,GSC CB 2CC,0.18107536,0
FBgn0262647,Nup160,4CC,0.214701272,0.040500539
FBgn0262647,Nup160,8CC,0.056532235,-0.160764237
FBgn0262647,Nup160,16CC 2a 1,0.140712966,-0.050165204
FBgn0262647,Nup160,16CC 2a 2,0.173173524,-0.009684603
FBgn0262647,Nup160,16CC 2ab,0.140632937,-0.050266423
FBgn0262647,Nup160,16CC 2b,0.157228426,-0.029427354
FBgn0262647,Nup160,16CC 3,0.177285772,-0.004636461
FBgn0262647,Nup160,St2,0.190491662,0.011456495
FBgn0020270,mre11,GSC CB 2CC,1.251729684,0
FBgn0020270,mre11,4CC,1.361226181,0.068502599
FBgn0020270,mre11,8CC,1.379483459,0.07961478
FBgn0020270,mre11,16CC 2a 1,1.035769427,-0.145459476
FBgn0020270,mre11,16CC 2a 2,1.022632013,-0.154799778
FBgn0020270,mre11,16CC 2ab,0.938872132,-0.215815984
FBgn0020270,mre11,16CC 2b,0.523718596,-0.563437158
FBgn0020270,mre11,16CC 3,0.610228177,-0.483768505
FBgn0020270,mre11,St2,0.417296152,-0.667892396
FBgn0283467,Pol32,GSC CB 2CC,0.363447928,0
FBgn0283467,Pol32,4CC,0.219979811,-0.160402329
FBgn0283467,Pol32,8CC,0.101782279,-0.307420439
FBgn0283467,Pol32,16CC 2a 1,0.107603971,-0.299817472
FBgn0283467,Pol32,16CC 2a 2,0.074415694,-0.343707319
FBgn0283467,Pol32,16CC 2ab,0.185631253,-0.201604221
FBgn0283467,Pol32,16CC 2b,0.135152871,-0.264373005
FBgn0283467,Pol32,16CC 3,0.10198626,-0.307153368
FBgn0283467,Pol32,St2,0.181215916,-0.206986902
FBgn0041627,Ku80,GSC CB 2CC,0.208127996,0
FBgn0041627,Ku80,4CC,0.205061327,-0.003666742
FBgn0041627,Ku80,8CC,0.267687817,0.069426198
FBgn0041627,Ku80,16CC 2a 1,0.258221945,0.058613119
FBgn0041627,Ku80,16CC 2a 2,0.276056564,0.078918971
FBgn0041627,Ku80,16CC 2ab,0.348971608,0.159086673
FBgn0041627,Ku80,16CC 2b,0.071250615,-0.173477277
FBgn0041627,Ku80,16CC 3,0.068001207,-0.177860033
FBgn0041627,Ku80,St2,0.043383854,-0.211503297
FBgn0040268,Top3alpha,GSC CB 2CC,0.367311515,0
FBgn0040268,Top3alpha,4CC,0.482754189,0.116937478
FBgn0040268,Top3alpha,8CC,0.543483659,0.17484824
FBgn0040268,Top3alpha,16CC 2a 1,0.476042638,0.110392427
FBgn0040268,Top3alpha,16CC 2a 2,0.489319361,0.12331118
FBgn0040268,Top3alpha,16CC 2ab,0.25667175,-0.121734111
FBgn0040268,Top3alpha,16CC 2b,0.270912414,-0.105477361
FBgn0040268,Top3alpha,16CC 3,0.277558865,-0.097952203
FBgn0040268,Top3alpha,St2,0.212143628,-0.173781314
FBgn0032906,RPA2,GSC CB 2CC,4.316285661,0
FBgn0032906,RPA2,4CC,5.157521533,0.211931141
FBgn0032906,RPA2,8CC,6.30205324,0.45788356
FBgn0032906,RPA2,16CC 2a 1,5.092393063,0.196590396
FBgn0032906,RPA2,16CC 2a 2,3.252147937,-0.322226837
FBgn0032906,RPA2,16CC 2ab,2.710456138,-0.518822075
FBgn0032906,RPA2,16CC 2b,2.303063629,-0.686613866
FBgn0032906,RPA2,16CC 3,3.452463302,-0.255814907
FBgn0032906,RPA2,St2,1.548202101,-1.060938923
FBgn0026401,Nipped-B,GSC CB 2CC,4.073342438,0
FBgn0026401,Nipped-B,4CC,5.058417152,0.256004376
FBgn0026401,Nipped-B,8CC,5.065036943,0.257579891
FBgn0026401,Nipped-B,16CC 2a 1,5.202728842,0.289966515
FBgn0026401,Nipped-B,16CC 2a 2,6.065805797,0.477917555
FBgn0026401,Nipped-B,16CC 2ab,5.683975895,0.397769988
FBgn0026401,Nipped-B,16CC 2b,3.969434875,-0.029854744
FBgn0026401,Nipped-B,16CC 3,2.939015261,-0.365101535
FBgn0026401,Nipped-B,St2,1.771116575,-0.872469139
FBgn0265003,koi,GSC CB 2CC,0.42125105,0
FBgn0265003,koi,4CC,0.598379681,0.169448733
FBgn0265003,koi,8CC,0.534240253,0.110363003
FBgn0265003,koi,16CC 2a 1,0.573653384,0.146956389
FBgn0265003,koi,16CC 2a 2,0.518201408,0.095201779
FBgn0265003,koi,16CC 2ab,0.385538971,-0.036714125
FBgn0265003,koi,16CC 2b,0.364805899,-0.058465628
FBgn0265003,koi,16CC 3,0.415566657,-0.00578173
FBgn0265003,koi,St2,0.534850581,0.110936799
FBgn0015929,dpa,GSC CB 2CC,0.902054741,0
FBgn0015929,dpa,4CC,1.40755627,0.34001075
FBgn0015929,dpa,8CC,1.750681426,0.532230294
FBgn0015929,dpa,16CC 2a 1,0.816074672,-0.066735244
FBgn0015929,dpa,16CC 2a 2,0.315607089,-0.53183008
FBgn0015929,dpa,16CC 2ab,0.339945099,-0.505384876
FBgn0015929,dpa,16CC 2b,0.773155564,-0.101239654
FBgn0015929,dpa,16CC 3,1.119727592,0.156320107
FBgn0015929,dpa,St2,0.561242022,-0.284864568
FBgn0002891,mus205,GSC CB 2CC,0.023271063,0
FBgn0002891,mus205,4CC,0.063313069,0.055378065
FBgn0002891,mus205,8CC,0.036639602,0.01872605
FBgn0002891,mus205,16CC 2a 1,0.034064808,0.015138243
FBgn0002891,mus205,16CC 2a 2,0.086918098,0.08705487
FBgn0002891,mus205,16CC 2ab,0.052816597,0.041065774
FBgn0002891,mus205,16CC 2b,0.039995273,0.023388607
FBgn0002891,mus205,16CC 3,0.029203728,0.008340225
FBgn0002891,mus205,St2,0.029843245,0.009236395
FBgn0003612,Su(var)2-10,GSC CB 2CC,0.834358011,0
FBgn0003612,Su(var)2-10,4CC,1.343476628,0.35337517
FBgn0003612,Su(var)2-10,8CC,1.11261667,0.20375578
FBgn0003612,Su(var)2-10,16CC 2a 1,1.338884818,0.350545579
FBgn0003612,Su(var)2-10,16CC 2a 2,1.218412486,0.274252405
FBgn0003612,Su(var)2-10,16CC 2ab,1.240603356,0.288612041
FBgn0003612,Su(var)2-10,16CC 2b,0.683915823,-0.123455215
FBgn0003612,Su(var)2-10,16CC 3,0.610631425,-0.18764885
FBgn0003612,Su(var)2-10,St2,0.526141138,-0.265386847
FBgn0033549,mms4,GSC CB 2CC,0.355088697,0
FBgn0033549,mms4,4CC,0.600204134,0.239868672
FBgn0033549,mms4,8CC,0.692046446,0.320381884
FBgn0033549,mms4,16CC 2a 1,0.503337422,0.149781571
FBgn0033549,mms4,16CC 2a 2,0.413182732,0.06056074
FBgn0033549,mms4,16CC 2ab,0.379662925,0.025928549
FBgn0033549,mms4,16CC 2b,0.217308914,-0.154691962
FBgn0033549,mms4,16CC 3,0.212001448,-0.160995863
FBgn0033549,mms4,St2,0.089741795,-0.314400945
FBgn0026533,Dek,GSC CB 2CC,2.6246214,0
FBgn0026533,Dek,4CC,2.856810423,0.089577923
FBgn0026533,Dek,8CC,2.077617888,-0.23601619
FBgn0026533,Dek,16CC 2a 1,2.581065581,-0.017441371
FBgn0026533,Dek,16CC 2a 2,2.916432902,0.111709931
FBgn0026533,Dek,16CC 2ab,2.726655102,0.040050995
FBgn0026533,Dek,16CC 2b,2.263954467,-0.151209379
FBgn0026533,Dek,16CC 3,1.782648781,-0.381371484
FBgn0026533,Dek,St2,1.52273457,-0.52284189
FBgn0002716,mei-W68,GSC CB 2CC,0.025943669,0
FBgn0002716,mei-W68,4CC,0.085014577,0.080762905
FBgn0002716,mei-W68,8CC,0.167320757,0.18624952
FBgn0002716,mei-W68,16CC 2a 1,0.156487063,0.172797607
FBgn0002716,mei-W68,16CC 2a 2,0.257167107,0.293224911
FBgn0002716,mei-W68,16CC 2ab,0.209008321,0.236872654
FBgn0002716,mei-W68,16CC 2b,0.065530343,0.054620157
FBgn0002716,mei-W68,16CC 3,0.050677049,0.034367771
FBgn0002716,mei-W68,St2,0.005279838,-0.029354362
FBgn0034728,rad50,GSC CB 2CC,0.851431137,0
FBgn0034728,rad50,4CC,0.927062171,0.057762227
FBgn0034728,rad50,8CC,1.339987285,0.3378598
FBgn0034728,rad50,16CC 2a 1,1.509438405,0.438723645
FBgn0034728,rad50,16CC 2a 2,1.03673407,0.137616734
FBgn0034728,rad50,16CC 2ab,0.959222899,0.081640651
FBgn0034728,rad50,16CC 2b,0.709176316,-0.11533966
FBgn0034728,rad50,16CC 3,0.639333722,-0.175531314
FBgn0034728,rad50,St2,0.313944727,-0.494736302
FBgn0034908,CG5543,GSC CB 2CC,0.322718891,0
FBgn0034908,CG5543,4CC,0.409398701,0.091573302
FBgn0034908,CG5543,8CC,0.408297193,0.090445331
FBgn0034908,CG5543,16CC 2a 1,0.426455067,0.108927816
FBgn0034908,CG5543,16CC 2a 2,0.3359996,0.014413089
FBgn0034908,CG5543,16CC 2ab,0.315053061,-0.008385475
FBgn0034908,CG5543,16CC 2b,0.171458374,-0.175200796
FBgn0034908,CG5543,16CC 3,0.199026177,-0.141643332
FBgn0034908,CG5543,St2,0.12337953,-0.235661067
FBgn0050169,Brca2,GSC CB 2CC,0.13408431,0
FBgn0050169,Brca2,4CC,0.131480405,-0.003316297
FBgn0050169,Brca2,8CC,0.10719157,-0.034623033
FBgn0050169,Brca2,16CC 2a 1,0.260518614,0.152489525
FBgn0050169,Brca2,16CC 2a 2,0.150770196,0.021071865
FBgn0050169,Brca2,16CC 2ab,0.290127787,0.185986075
FBgn0050169,Brca2,16CC 2b,0.122610191,-0.014670835
FBgn0050169,Brca2,16CC 3,0.086151409,-0.062302669
FBgn0050169,Brca2,St2,0.105189058,-0.037234713
FBgn0035150,Rev1,GSC CB 2CC,0.484088493,0
FBgn0035150,Rev1,4CC,0.33118128,-0.156870069
FBgn0035150,Rev1,8CC,0.168490478,-0.344931142
FBgn0035150,Rev1,16CC 2a 1,0.237960531,-0.261611801
FBgn0035150,Rev1,16CC 2a 2,0.175859213,-0.335861785
FBgn0035150,Rev1,16CC 2ab,0.142637502,-0.377209334
FBgn0035150,Rev1,16CC 2b,0.107839011,-0.421828873
FBgn0035150,Rev1,16CC 3,0.121428517,-0.404239458
FBgn0035150,Rev1,St2,0.117417895,-0.40940829
FBgn0002872,mu2,GSC CB 2CC,0.141051274,0
FBgn0002872,mu2,4CC,0.32392013,0.214452468
FBgn0002872,mu2,8CC,0.311640404,0.201008627
FBgn0002872,mu2,16CC 2a 1,0.166033798,0.031245984
FBgn0002872,mu2,16CC 2a 2,0.144828274,0.004767586
FBgn0002872,mu2,16CC 2ab,0.210101331,0.084764238
FBgn0002872,mu2,16CC 2b,0.223369913,0.100497079
FBgn0002872,mu2,16CC 3,0.286680752,0.173290518
FBgn0002872,mu2,St2,0.149238502,0.010314611
FBgn0263831,Gen,GSC CB 2CC,0.214270381,0
FBgn0263831,Gen,4CC,0.374000091,0.178292398
FBgn0263831,Gen,8CC,0.489997399,0.295220111
FBgn0263831,Gen,16CC 2a 1,0.489373959,0.294616337
FBgn0263831,Gen,16CC 2a 2,0.327488907,0.128610104
FBgn0263831,Gen,16CC 2ab,0.258751494,0.051903789
FBgn0263831,Gen,16CC 2b,0.221291601,0.008318004
FBgn0263831,Gen,16CC 3,0.150315409,-0.078060208
FBgn0263831,Gen,St2,0.039062757,-0.224806909
FBgn0002899,mus301,GSC CB 2CC,0.108238227,0
FBgn0002899,mus301,4CC,0.146796825,0.049341778
FBgn0002899,mus301,8CC,0.155531708,0.060288812
FBgn0002899,mus301,16CC 2a 1,0.1232592,0.019422841
FBgn0002899,mus301,16CC 2a 2,0.105867289,-0.003089774
FBgn0002899,mus301,16CC 2ab,0.093929587,-0.018748157
FBgn0002899,mus301,16CC 2b,0.0651955,-0.057149798
FBgn0002899,mus301,16CC 3,0.086733145,-0.028270317
FBgn0002899,mus301,St2,0.056712524,-0.068685088
FBgn0040290,RecQ4,GSC CB 2CC,0.557414915,0
FBgn0040290,RecQ4,4CC,1.027125521,0.380282077
FBgn0040290,RecQ4,8CC,1.031919442,0.383689858
FBgn0040290,RecQ4,16CC 2a 1,0.356611223,-0.199146015
FBgn0040290,RecQ4,16CC 2a 2,0.532049946,-0.023690016
FBgn0040290,RecQ4,16CC 2ab,0.509535183,-0.045048965
FBgn0040290,RecQ4,16CC 2b,0.665686578,0.096963616
FBgn0040290,RecQ4,16CC 3,0.702481177,0.1284855
FBgn0040290,RecQ4,St2,0.351435424,-0.204660771
FBgn0020633,Mcm7,GSC CB 2CC,1.267820809,0
FBgn0020633,Mcm7,4CC,1.526019699,0.15555924
FBgn0020633,Mcm7,8CC,1.644583076,0.221733646
FBgn0020633,Mcm7,16CC 2a 1,0.792130071,-0.3396313
FBgn0020633,Mcm7,16CC 2a 2,0.411432126,-0.684146898
FBgn0020633,Mcm7,16CC 2ab,0.475992716,-0.619621049
FBgn0020633,Mcm7,16CC 2b,0.776822618,-0.352006988
FBgn0020633,Mcm7,16CC 3,1.163885742,-0.067682327
FBgn0020633,Mcm7,St2,0.626888315,-0.479191436
FBgn0035996,CG3448,GSC CB 2CC,0.335157916,0
FBgn0035996,CG3448,4CC,0.204526788,-0.148543908
FBgn0035996,CG3448,8CC,0.177200262,-0.181650618
FBgn0035996,CG3448,16CC 2a 1,0.352635591,0.018762833
FBgn0035996,CG3448,16CC 2a 2,0.305356679,-0.032566321
FBgn0035996,CG3448,16CC 2ab,0.24374724,-0.102317062
FBgn0035996,CG3448,16CC 2b,0.20337653,-0.149922262
FBgn0035996,CG3448,16CC 3,0.171266426,-0.188941107
FBgn0035996,CG3448,St2,0.213448393,-0.137897633
FBgn0261530,nbs,GSC CB 2CC,0.266908774,0
FBgn0261530,nbs,4CC,0.324689328,0.064341407
FBgn0261530,nbs,8CC,0.299411675,0.036545929
FBgn0261530,nbs,16CC 2a 1,0.20015953,-0.078086457
FBgn0261530,nbs,16CC 2a 2,0.219183982,-0.055396791
FBgn0261530,nbs,16CC 2ab,0.223365729,-0.050456878
FBgn0261530,nbs,16CC 2b,0.224712038,-0.048870071
FBgn0261530,nbs,16CC 3,0.243289537,-0.027150334
FBgn0261530,nbs,St2,0.214900802,-0.060474123
FBgn0036126,Irbp18,GSC CB 2CC,0.24340026,0
FBgn0036126,Irbp18,4CC,0.124984908,-0.144385137
FBgn0036126,Irbp18,8CC,0.274429411,0.035560682
FBgn0036126,Irbp18,16CC 2a 1,0.238172933,-0.006077958
FBgn0036126,Irbp18,16CC 2a 2,0.171667749,-0.085727264
FBgn0036126,Irbp18,16CC 2ab,0.155895846,-0.105279377
FBgn0036126,Irbp18,16CC 2b,0.081411742,-0.201374859
FBgn0036126,Irbp18,16CC 3,0.073878581,-0.211459902
FBgn0036126,Irbp18,St2,0.081924388,-0.200691107
FBgn0027375,RecQ5,GSC CB 2CC,0.746961773,0
FBgn0027375,RecQ5,4CC,0.761610271,0.012046746
FBgn0027375,RecQ5,8CC,0.887078088,0.111306083
FBgn0027375,RecQ5,16CC 2a 1,0.569974437,-0.154106971
FBgn0027375,RecQ5,16CC 2a 2,0.612117641,-0.115891014
FBgn0027375,RecQ5,16CC 2ab,0.659496428,-0.074102516
FBgn0027375,RecQ5,16CC 2b,0.451653871,-0.267150539
FBgn0027375,RecQ5,16CC 3,0.416570057,-0.302446087
FBgn0027375,RecQ5,St2,0.258885582,-0.472700875
FBgn0036730,qjt,GSC CB 2CC,0.591744475,0
FBgn0036730,qjt,4CC,0.262589308,-0.334223317
FBgn0036730,qjt,8CC,0.129314725,-0.495161155
FBgn0036730,qjt,16CC 2a 1,0.175226153,-0.43767035
FBgn0036730,qjt,16CC 2a 2,0.059055943,-0.587829957
FBgn0036730,qjt,16CC 2ab,0.050035894,-0.600170111
FBgn0036730,qjt,16CC 2b,0.049153082,-0.601383559
FBgn0036730,qjt,16CC 3,0.035964999,-0.619633495
FBgn0036730,qjt,St2,0.024412375,-0.63581217
FBgn0052438,SMC5,GSC CB 2CC,0.816426145,0
FBgn0052438,SMC5,4CC,1.141009681,0.237188612
FBgn0052438,SMC5,8CC,0.883550226,0.052351796
FBgn0052438,SMC5,16CC 2a 1,1.045309351,0.171216358
FBgn0052438,SMC5,16CC 2a 2,0.937221235,0.092886015
FBgn0052438,SMC5,16CC 2ab,0.700416592,-0.095214466
FBgn0052438,SMC5,16CC 2b,0.542757794,-0.235591124
FBgn0052438,SMC5,16CC 3,0.621089826,-0.164138673
FBgn0052438,SMC5,St2,0.329215756,-0.450527408
FBgn0037141,DNApol-eta,GSC CB 2CC,0.239763902,0
FBgn0037141,DNApol-eta,4CC,0.250607342,0.012563489
FBgn0037141,DNApol-eta,8CC,0.572878915,0.343342209
FBgn0037141,DNApol-eta,16CC 2a 1,1.040805047,0.719072969
FBgn0037141,DNApol-eta,16CC 2a 2,1.137246858,0.78568815
FBgn0037141,DNApol-eta,16CC 2ab,1.197372477,0.825714039
FBgn0037141,DNApol-eta,16CC 2b,1.016668403,0.70190848
FBgn0037141,DNApol-eta,16CC 3,1.121197005,0.774813213
FBgn0037141,DNApol-eta,St2,0.663131628,0.423836951
FBgn0015075,Ddx1,GSC CB 2CC,0.708629323,0
FBgn0015075,Ddx1,4CC,0.548152146,-0.142292187
FBgn0015075,Ddx1,8CC,0.449949057,-0.236837234
FBgn0015075,Ddx1,16CC 2a 1,0.54050642,-0.149434752
FBgn0015075,Ddx1,16CC 2a 2,0.424459299,-0.262425047
FBgn0015075,Ddx1,16CC 2ab,0.529784948,-0.159510589
FBgn0015075,Ddx1,16CC 2b,0.400068642,-0.287341886
FBgn0015075,Ddx1,16CC 3,0.248582167,-0.452548682
FBgn0015075,Ddx1,St2,0.338425526,-0.352302581
FBgn0260987,vtd,GSC CB 2CC,0.946114289,0
FBgn0260987,vtd,4CC,0.903203301,-0.032166758
FBgn0260987,vtd,8CC,0.630573995,-0.255216525
FBgn0260987,vtd,16CC 2a 1,0.416125177,-0.458647641
FBgn0260987,vtd,16CC 2a 2,0.402969546,-0.472112744
FBgn0260987,vtd,16CC 2ab,0.46262951,-0.412032062
FBgn0260987,vtd,16CC 2b,0.27343365,-0.611872645
FBgn0260987,vtd,16CC 3,0.202073974,-0.695070756
FBgn0260987,vtd,St2,0.135423895,-0.777365429
FBgn0010247,Parp,GSC CB 2CC,5.010096988,0
FBgn0010247,Parp,4CC,5.255470721,0.057730178
FBgn0010247,Parp,8CC,6.185342297,0.257668613
FBgn0010247,Parp,16CC 2a 1,7.338537003,0.472406012
FBgn0010247,Parp,16CC 2a 2,7.018799421,0.415997979
FBgn0010247,Parp,16CC 2ab,4.689497694,-0.079086985
FBgn0010247,Parp,16CC 2b,3.603996358,-0.384501581
FBgn0010247,Parp,16CC 3,4.220360811,-0.203238749
FBgn0010247,Parp,St2,1.530603664,-1.247906699
FBgn0037263,slx1,GSC CB 2CC,0.230285787,0
FBgn0037263,slx1,4CC,0.195579957,-0.041282866
FBgn0037263,slx1,8CC,0.072171323,-0.19845803
FBgn0037263,slx1,16CC 2a 1,0.090484025,-0.174024848
FBgn0037263,slx1,16CC 2a 2,0.099949156,-0.161556644
FBgn0037263,slx1,16CC 2ab,0.075000194,-0.194656563
FBgn0037263,slx1,16CC 2b,0.081663582,-0.18574162
FBgn0037263,slx1,16CC 3,0.08716113,-0.178427702
FBgn0037263,slx1,St2,0.076841867,-0.192187075
FBgn0026417,Hus1-like,GSC CB 2CC,0.499043011,0
FBgn0026417,Hus1-like,4CC,0.87750245,0.324773013
FBgn0026417,Hus1-like,8CC,1.056003395,0.455800869
FBgn0026417,Hus1-like,16CC 2a 1,0.727500523,0.20464437
FBgn0026417,Hus1-like,16CC 2a 2,0.266177594,-0.243562007
FBgn0026417,Hus1-like,16CC 2ab,0.261663117,-0.248715038
FBgn0026417,Hus1-like,16CC 2b,0.2389902,-0.274877001
FBgn0026417,Hus1-like,16CC 3,0.2038884,-0.316340116
FBgn0026417,Hus1-like,St2,0.124451193,-0.414820736
FBgn0037301,Mms19,GSC CB 2CC,0.217599814,0
FBgn0037301,Mms19,4CC,0.432206541,0.234199518
FBgn0037301,Mms19,8CC,0.301475928,0.096108585
