"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0002707","mei-9","bam RNAi",14.2064424938755,3.92661077281814
"FBgn0002707","mei-9","bam RNAi; HS-bam",15.9518690538416,4.08337244353223
"FBgn0002707","mei-9","Young WT",19.5754398287691,4.36285136548575
"FBgn0002709","mei-218","UAS-tkv",0.595604583705436,0.674103172984695
"FBgn0002709","mei-218","bam RNAi",3.08958016165691,2.03195274297505
"FBgn0002709","mei-218","bam RNAi; HS-bam",4.24268143979589,2.39030488627211
"FBgn0002709","mei-218","Young WT",0.861804145389419,0.89670131492843
"FBgn0002715","mei-S332","UAS-tkv",19.1365882039692,4.33174735925591
"FBgn0002715","mei-S332","bam RNAi",14.5202918321659,3.95608378004514
"FBgn0002715","mei-S332","bam RNAi; HS-bam",17.4570746189797,4.20610200393092
"FBgn0002715","mei-S332","Young WT",18.3901862757025,4.27725475793709
"FBgn0002716","mei-W68","UAS-tkv",2.32554539942515,1.73359096633412
"FBgn0002716","mei-W68","bam RNAi",1.60415649599496,1.38081614942972
"FBgn0002716","mei-W68","bam RNAi; HS-bam",2.48749597826958,1.80219155324752
"FBgn0002716","mei-W68","Young WT",1.0509686192847,1.03630541812265
"FBgn0002781","mod(mdg4)","UAS-tkv",44.4510728949141,5.5062424452342
"FBgn0002781","mod(mdg4)","bam RNAi",43.4502664910401,5.4741201633046
"FBgn0002781","mod(mdg4)","bam RNAi; HS-bam",38.4648721201396,5.30249716928806
"FBgn0002781","mod(mdg4)","Young WT",47.8254977251315,5.60956284584877
"FBgn0002842","sa","UAS-tkv",0,0
"FBgn0002842","sa","bam RNAi",0,0
"FBgn0002842","sa","bam RNAi; HS-bam",0.0370897096872603,0.052540694655578
"FBgn0002842","sa","Young WT",0,0
"FBgn0002873","mud","UAS-tkv",18.1561469772197,4.25973550482076
"FBgn0002873","mud","bam RNAi",17.6907688639801,4.22425401193384
"FBgn0002873","mud","bam RNAi; HS-bam",22.5451526169407,4.55735816893657
"FBgn0002873","mud","Young WT",26.3672138842603,4.77437666368022
"FBgn0002899","mus301","UAS-tkv",17.7546334386404,4.2291751605301
"FBgn0002899","mus301","bam RNAi",14.1038877398983,3.91684804186514
"FBgn0002899","mus301","bam RNAi; HS-bam",14.029794696723,3.90975339741891
"FBgn0002899","mus301","Young WT",19.629138566018,4.36661167314124
"FBgn0002901","mus304","UAS-tkv",14.6148846707366,3.9648500087498
"FBgn0002901","mus304","bam RNAi",14.3457776121569,3.93976984781319
"FBgn0002901","mus304","bam RNAi; HS-bam",18.7333517311981,4.30256411507934
"FBgn0002901","mus304","Young WT",15.5452385599165,4.04834418839501
"FBgn0002906","Blm","UAS-tkv",14.080144357587,3.91457833403625
"FBgn0002906","Blm","bam RNAi",11.3405831630667,3.62533866656961
"FBgn0002906","Blm","bam RNAi; HS-bam",20.6650973557301,4.43730081450261
"FBgn0002906","Blm","Young WT",20.5911620863677,4.43236898952714
"FBgn0002909","mus312","UAS-tkv",0,0
"FBgn0002909","mus312","bam RNAi",0,0
"FBgn0002909","mus312","bam RNAi; HS-bam",0,0
"FBgn0002909","mus312","Young WT",0,0
"FBgn0002924","ncd","UAS-tkv",81.7121768034655,6.37002783203218
"FBgn0002924","ncd","bam RNAi",75.7824938520247,6.26270551375313
"FBgn0002924","ncd","bam RNAi; HS-bam",27.6855457238214,4.84225205947169
"FBgn0002924","ncd","Young WT",53.6503188602159,5.77215800829068
"FBgn0002948","nod","UAS-tkv",20.5744458376514,4.43125159762694
"FBgn0002948","nod","bam RNAi",12.6847853436635,3.77450089999133
"FBgn0002948","nod","bam RNAi; HS-bam",12.5030851930172,3.75521716765566
"FBgn0002948","nod","Young WT",41.6206254639733,5.41347985992613
"FBgn0002962","nos","UAS-tkv",156.579780533973,7.29993862054136
"FBgn0002962","nos","bam RNAi",122.082655075657,6.94348365996904
"FBgn0002962","nos","bam RNAi; HS-bam",107.753068475674,6.76491229705503
"FBgn0002962","nos","Young WT",175.701909648084,7.46517382120321
"FBgn0002989","okr","UAS-tkv",22.887964602751,4.57821202768472
"FBgn0002989","okr","bam RNAi",20.9508220473298,4.4562030638689
"FBgn0002989","okr","bam RNAi; HS-bam",24.1213504715933,4.65084211748875
"FBgn0002989","okr","Young WT",21.550784486532,4.49510571706617
"FBgn0003009","ord","UAS-tkv",33.6569092303945,5.11507109281276
"FBgn0003009","ord","bam RNAi",44.2288226434737,5.49917053638997
"FBgn0003009","ord","bam RNAi; HS-bam",29.775994394602,4.94373356686872
"FBgn0003009","ord","Young WT",1.60483772349634,1.38119349810862
"FBgn0003041","pbl","UAS-tkv",34.1239982939926,5.13438517639469
"FBgn0003041","pbl","bam RNAi",31.1484021518872,5.00667512902427
"FBgn0003041","pbl","bam RNAi; HS-bam",33.1246575697398,5.09274266399921
"FBgn0003041","pbl","Young WT",35.8613157472316,5.20403566309222
"FBgn0003124","polo","UAS-tkv",198.169634202089,7.63785389779587
"FBgn0003124","polo","bam RNAi",164.649674405638,7.37199155749288
"FBgn0003124","polo","bam RNAi; HS-bam",179.135965752923,7.49294244671645
"FBgn0003124","polo","Young WT",190.661529757328,7.58241697853871
"FBgn0003227","rec","UAS-tkv",9.7517100080162,3.42649422669192
"FBgn0003227","rec","bam RNAi",15.3797152722672,4.0338383737919
"FBgn0003227","rec","bam RNAi; HS-bam",6.28643893520706,2.8652139056726
"FBgn0003227","rec","Young WT",6.53375994637437,2.91337006438528
"FBgn0003302","rux","UAS-tkv",22.7239550451354,4.56827263800723
"FBgn0003302","rux","bam RNAi",17.2636624826913,4.19090419842339
"FBgn0003302","rux","bam RNAi; HS-bam",17.4408024053287,4.20482952728165
"FBgn0003302","rux","Young WT",32.5173849023605,5.06683768618081
"FBgn0003326","sca","UAS-tkv",1.05726341496581,1.04072653043757
"FBgn0003326","sca","bam RNAi",1.38457479581982,1.25373203576895
"FBgn0003326","sca","bam RNAi; HS-bam",0.237755689041874,0.30772658031089
"FBgn0003326","sca","Young WT",0.0105813767784171,0.0151854990038063
"FBgn0003346","RanGAP","UAS-tkv",134.104109604807,7.07792774908896
"FBgn0003346","RanGAP","bam RNAi",140.820296877702,7.14792021113436
"FBgn0003346","RanGAP","bam RNAi; HS-bam",102.886622900522,6.69886608542628
"FBgn0003346","RanGAP","Young WT",125.77181661143,6.98609023687447
"FBgn0003371","sgg","UAS-tkv",12.5022114872273,3.75512381626422
"FBgn0003371","sgg","bam RNAi",14.6595694019636,3.9689726376445
"FBgn0003371","sgg","bam RNAi; HS-bam",24.0084309881634,4.64434264154648
"FBgn0003371","sgg","Young WT",14.8819972516618,3.98932044589988
"FBgn0003475","spir","UAS-tkv",10.1305444625403,3.47645226027118
"FBgn0003475","spir","bam RNAi",9.95334155916382,3.45329915790158
"FBgn0003475","spir","bam RNAi; HS-bam",12.4515352255794,3.74969893205096
"FBgn0003475","spir","Young WT",24.9820962801269,4.69944592948138
"FBgn0003479","spn-A","UAS-tkv",32.0998839366288,5.04875425317835
"FBgn0003479","spn-A","bam RNAi",37.5490930813786,5.26862501410968
"FBgn0003479","spn-A","bam RNAi; HS-bam",23.68575250494,4.62560671884415
"FBgn0003479","spn-A","Young WT",22.4311128689061,4.55035357202156
"FBgn0003480","spn-B","UAS-tkv",10.8183367954054,3.56295511298704
"FBgn0003480","spn-B","bam RNAi",7.04728277925624,3.00850172948247
"FBgn0003480","spn-B","bam RNAi; HS-bam",3.92634358165654,2.30051725030261
"FBgn0003480","spn-B","Young WT",13.4821514741697,3.85620404057809
"FBgn0003482","spn-D","UAS-tkv",13.7792875701028,3.88550482148563
"FBgn0003482","spn-D","bam RNAi",12.5528348512701,3.76052274706459
"FBgn0003482","spn-D","bam RNAi; HS-bam",14.9013703471965,3.99107919422816
"FBgn0003482","spn-D","Young WT",14.1263918938393,3.91899599667607
"FBgn0003483","spn-E","UAS-tkv",84.7548598653329,6.42214652832955
"FBgn0003483","spn-E","bam RNAi",121.795996626761,6.94011971676241
"FBgn0003483","spn-E","bam RNAi; HS-bam",93.7367516071568,6.56585229962712
"FBgn0003483","spn-E","Young WT",54.8567321230911,5.80365926664845
"FBgn0003502","Btk29A","UAS-tkv",17.0971664062072,4.17769191751409
"FBgn0003502","Btk29A","bam RNAi",22.0768943632132,4.52837717726484
"FBgn0003502","Btk29A","bam RNAi; HS-bam",20.9235772131433,4.45441131319491
"FBgn0003502","Btk29A","Young WT",23.1996837034879,4.59691628609006
"FBgn0003525","stg","UAS-tkv",59.0429713579554,5.90792346853676
"FBgn0003525","stg","bam RNAi",37.2930264867757,5.25900978288722
"FBgn0003525","stg","bam RNAi; HS-bam",102.46659308062,6.69302122052582
"FBgn0003525","stg","Young WT",196.439798898711,7.62526901992585
"FBgn0003545","sub","UAS-tkv",43.9057166787008,5.48882721243785
"FBgn0003545","sub","bam RNAi",34.1911278504123,5.13713984705741
"FBgn0003545","sub","bam RNAi; HS-bam",32.9028388583552,5.08333417755261
"FBgn0003545","sub","Young WT",35.1091226198235,5.17429146096711
"FBgn0004106","Cdk1","UAS-tkv",210.912634669513,7.72732579651097
"FBgn0004106","Cdk1","bam RNAi",266.500403479491,8.06339725735364
"FBgn0004106","Cdk1","bam RNAi; HS-bam",151.72558137078,7.25479792201901
"FBgn0004106","Cdk1","Young WT",195.536244932593,7.61865158654641
"FBgn0004367","mei-41","UAS-tkv",7.01790512479904,3.00322534629989
"FBgn0004367","mei-41","bam RNAi",7.43306925907689,3.07605780304803
"FBgn0004367","mei-41","bam RNAi; HS-bam",8.34424029855281,3.22407737536014
"FBgn0004367","mei-41","Young WT",6.5788048330145,2.92197035533137
"FBgn0004372","aly","UAS-tkv",6.83515167759295,2.96996120352914
"FBgn0004372","aly","bam RNAi",7.4834666345818,3.08465391980382
"FBgn0004372","aly","bam RNAi; HS-bam",4.91428271545724,2.56420320903812
"FBgn0004372","aly","Young WT",0.0177180883329824,0.025337984901609
"FBgn0004373","fwd","UAS-tkv",18.3864597767985,4.27697746724527
"FBgn0004373","fwd","bam RNAi",23.0002449697156,4.58497722633741
"FBgn0004373","fwd","bam RNAi; HS-bam",34.6563924986653,5.15608884194567
"FBgn0004373","fwd","Young WT",29.3503469541224,4.92364110382732
"FBgn0004374","neb","UAS-tkv",15.6655845577819,4.05880001682532
"FBgn0004374","neb","bam RNAi",11.4856881351528,3.64220343091634
"FBgn0004374","neb","bam RNAi; HS-bam",8.79239462083774,3.29166169794622
"FBgn0004374","neb","Young WT",10.92158765145,3.57550447366973
"FBgn0004379","Klp67A","UAS-tkv",40.9532965348518,5.39071227164609
"FBgn0004379","Klp67A","bam RNAi",48.0345807912677,5.61572763881048
"FBgn0004379","Klp67A","bam RNAi; HS-bam",36.4556082092607,5.22710984374315
"FBgn0004379","Klp67A","Young WT",40.7730304016894,5.38449990170876
"FBgn0004390","RasGAP1","UAS-tkv",22.5980637427206,4.56059658399252
"FBgn0004390","RasGAP1","bam RNAi",27.5780514278841,4.83683564563999
"FBgn0004390","RasGAP1","bam RNAi; HS-bam",33.3548187963215,5.10244056848581
"FBgn0004390","RasGAP1","Young WT",30.0408687238769,4.9560970288973
"FBgn0004581","bgcn","UAS-tkv",45.9212413423376,5.55216927651347
"FBgn0004581","bgcn","bam RNAi",43.5138723922757,5.4761831054085
"FBgn0004581","bgcn","bam RNAi; HS-bam",17.8219313952563,4.23434277138052
"FBgn0004581","bgcn","Young WT",0.937999695558763,0.954568344119404
"FBgn0004655","wapl","UAS-tkv",21.8412067678338,4.51356696940499
"FBgn0004655","wapl","bam RNAi",15.8558579944098,4.0751781599298
"FBgn0004655","wapl","bam RNAi; HS-bam",23.310082680651,4.60348289499042
"FBgn0004655","wapl","Young WT",41.4965539331418,5.40927395201683
"FBgn0004698","Xpc","UAS-tkv",45.2453474314717,5.5312363237557
"FBgn0004698","Xpc","bam RNAi",46.4541083704598,5.56846108980727
"FBgn0004698","Xpc","bam RNAi; HS-bam",67.5954121268865,6.10004018261008
"FBgn0004698","Xpc","Young WT",52.7874605796404,5.74919797272275
"FBgn0004828","His3.3B","UAS-tkv",575.104527230971,9.17018678483889
"FBgn0004828","His3.3B","bam RNAi",810.130268591037,9.66378982155134
"FBgn0004828","His3.3B","bam RNAi; HS-bam",1042.15768243968,10.0267415350217
"FBgn0004828","His3.3B","Young WT",690.822154933212,9.43425740513414
"FBgn0004875","enc","UAS-tkv",36.0688992080799,5.21213736864643
"FBgn0004875","enc","bam RNAi",60.8967315386674,5.95179132472348
"FBgn0004875","enc","bam RNAi; HS-bam",56.3638431884225,5.84206977797775
"FBgn0004875","enc","Young WT",42.6694398160505,5.44855211948413
"FBgn0005596","yem","UAS-tkv",20.587690026012,4.43213697204531
"FBgn0005596","yem","bam RNAi",12.040584215176,3.70493659831044
"FBgn0005596","yem","bam RNAi; HS-bam",29.8763914549758,4.94843224858741
"FBgn0005596","yem","Young WT",40.5989596295904,5.37847554258067
"FBgn0010097","gammaTub37C","UAS-tkv",61.4939759393026,5.96564522384039
"FBgn0010097","gammaTub37C","bam RNAi",35.0487949381796,5.17187912784111
"FBgn0010097","gammaTub37C","bam RNAi; HS-bam",20.8367500140645,4.44868624933699
"FBgn0010097","gammaTub37C","Young WT",89.2155504324068,6.49530422679472
"FBgn0010173","RpA-70","UAS-tkv",189.172868127409,7.57116762203965
"FBgn0010173","RpA-70","bam RNAi",215.651916468041,7.75923518828947
"FBgn0010173","RpA-70","bam RNAi; HS-bam",165.11743273329,7.37605967064976
"FBgn0010173","RpA-70","Young WT",214.803147513213,7.75357209662377
"FBgn0010314","Cks30A","UAS-tkv",86.0533112792856,6.44382727013706
"FBgn0010314","Cks30A","bam RNAi",86.4148119854431,6.44980585250104
"FBgn0010314","Cks30A","bam RNAi; HS-bam",89.8733716237048,6.50578570223922
"FBgn0010314","Cks30A","Young WT",87.6656697216712,6.4703037134001
"FBgn0010316","dap","UAS-tkv",46.4649297604666,5.56879004311471
"FBgn0010316","dap","bam RNAi",51.8112347621727,5.722772967871
"FBgn0010316","dap","bam RNAi; HS-bam",48.6807560606154,5.63461522409392
"FBgn0010316","dap","Young WT",70.5945267192823,6.16177739499184
"FBgn0010348","Arf79F","UAS-tkv",329.945915223738,8.37045165389484
"FBgn0010348","Arf79F","bam RNAi",442.502291711603,8.7927977491656
"FBgn0010348","Arf79F","bam RNAi; HS-bam",479.412574428282,8.90813010274148
"FBgn0010348","Arf79F","Young WT",345.339723039784,8.43604405506305
"FBgn0010397","LamC","UAS-tkv",49.3368569143081,5.65354323081995
"FBgn0010397","LamC","bam RNAi",59.9699604190185,5.93002670430139
"FBgn0010397","LamC","bam RNAi; HS-bam",90.7072410652192,6.51896374622619
"FBgn0010397","LamC","Young WT",47.0180890052755,5.58550608409768
